

//  {“ ATI Vendor ID: 0x1002” “}

// Retail name, ASIC, Device ID

VENDOR ID 1002 
Product ASIC Table

{ “AMD 760G    ,RS780L,      9616”}
{ “AMD 780E    ,RS780E ,     9615”}
{ “AMD FireStream 9170       ,RV670   , 9519”}
{ “AMD FireStream 9250,RV770  PRO        , 9452”}
{ “AMD FireStream 9270,RV770  XT   ,    9450”}
{ “ ATI FireGL V3600  ,RV630      ,        958D”}
{ “ ATI FireGL V5600  ,RV630       ,      958C”}
{ “ ATI FireGL V7600  ,R600   ,    940F”}
{ “ ATI FireGL V7700  ,RV670 GL   , 9511”}
{ “ ATI FireGL V8600  ,R600 ,   940B”}
{ “ ATI FireGL V8650  ,R600  ,  940A”}
{ “ ATI FirePro 2260  ,RV620  ,95CE”}
{ “ ATI FirePro 2260  ,RV620 ,      95CF”}
{ “ ATI FirePro 2450  ,RV620  ,      95CD”}
{ “ ATI FirePro M7740 ,M97 GL     ,   94A3”}
{ “ ATI FirePro RG220 ,M93 GL       , 9557”}
{ “ ATI FirePRO V3700 ,RV620 GL  ,  95CC”}
{ “ ATI FirePro V3750 (FireGL)   ,RV730   ,      949F”}
{ “ ATI FirePro V5700 (FireGL)   ,RV730    ,     949E”}
{ “ ATI FirePro V7750 (FireGL)   ,RV730     ,  949C”}
{ “ ATI FirePro V7770 (FireGL)   ,RV770  GLXT,  9446”}
{ “ ATI FirePro V8700 (FireGL)   ,RV770  GLXT ,  9456”}
{ “ ATI FirePro V8700 Duo (FireGL)   “,R700 GLXT  ,   9447”}
{ “ ATI FirePro V8750 (FireGL)  ,RV770  GLXT   ,      9444”}
{ “ ATI Mobility FireGL Graphics Processor  ,M86 XT GL ,  959B”}
{ “ ATI Mobility FireGL Graphics Processor  ,M76 GL        ,    958F”}
{ “ ATI Mobility FireGL V5700 ,M86 GL  ,    9595”}
{ “ ATI Mobility Radeon 4100  ,RS880MC   ,  9713”}
{ “ ATI Mobility Radeon HD 2400 ,M72-M     ,  94C9”}
{ “ ATI Mobility Radeon HD 2400 XT  ,M74-M   ,    94C8”}
{ “ ATI Mobility Radeon HD 2600 ,M76M , 9581”}
{ “ ATI Mobility Radeon HD 2600 XT  ,M76XT     ,  9583”}
